,Hotels,Prices,Descriptions,Full_Descriptions
462,Casa Barcelo Hostel Barcelona,"€ 1,561",2 bunk beds,"Set in Barcelona’s stylish Eixample district, Barcelo Hostel offers air-conditioned dormitory rooms with free Wi-Fi. Located 600 metres from Passeig de Gracia, the hostel features a terrace, 24-hour reception and shared kitchens.

Each bright dormitory has bunk beds and lockers. There is access to shared bathrooms with showers and hairdryers. Bicycles are not allowed

Barcelo Hostel offers 2 shared kitchens, including a microwave, fridge and kitchenware. There are also 2 air-conditioned lounge areas with sofas and a TV. You can find a variety of shops, restaurants and bars within a 5-minute walk of the hostel.

Diagonal Metro Station is 500 metres from Barcelo Hostel and Plaza Catalunya is 2 stops away, on Line 3. Staff at the hostel can give you tourist information about the area."
463,Praktik Rambla,"€ 1,538",1 large double bed,"Situated on the central, tree-lined Rambla Catalunya, this boutique hotel is set in a stunning 19th-century palace. It maintains authentic features such as Baroque-style columns and colourful ceramic floors.

The chic rooms at the Praktik Rambla feature a minimalist design and come with air conditioning. They also include free Wi-Fi and a private bathroom, decorated with striking green tiles.

The hotel offers a terrace with comfortable sofas where guests can relax. From June to September, free fruit juice is served on the terrace from 16:00 to 20:00 every day.

Passeig de Gracia Metro Station is 200 metres away from the Praktik Rambla. Barcelona’s famous Plaza Catalunya and Las Ramblas are a 5-minute walk away. The hotel is surrounded by restaurants, bars and shops."
464,My Address in Plaza Real,"€ 1,471",2 single beds,"Set in the lively Plaza Reial Square, My Adddress in Plaza Real offers air-conditioned apartments with free Wi-Fi. Centrally located, apartments are 100 metres from Las Ramblas.

Featuring a modern décor, these heated apartments come with a lounge area with flat-screen TV and a well-equipped kitchenette including a microwave, fridge and kettle. Bed linen and towels are provided.

You can find fresh produce and traditional tapas bar in the nearby Boqueria Market, 450 metres away.  There are also a wide range of restaurants and shops open till late in the surrounding area.

My Adddress in Plaza Real are located in the Gothic Quarter, 10 minutes’ walk from Barcelona Cathedral. Well connected by public transport, the apartments are 300 metres from Liceu Metro Station."
465,TOC Hostel Barcelona,"€ 1,872",1 large double bed,"Set in the heart of Barcelona, just 700 metres from Plaza Catalunya Square, TOC Hostel Barcelona offers an outdoor pool and a terrace.

The property offers private and shared rooms with air conditioning and heating. Some rooms have a flat-screen TV and some have a private bathroom. There is a shared TV area, kitchen and games room for guests to make use of.

TOC Hostel Barcelona also offers tourist information of the area and a ticket service. You will also find many bars, restaurants and supermarkets in the surrounding streets.

Metro Universtitat is a 2-minute walk from the property and a 25-minute metro ride will take you to Barceloneta Beach. Sagrada Familia is 10 minutes’ metro ride away."
466,Smartr Barcelona Ramblas,"€ 2,179",1 double bed,"Smartr Barcelona Ramblas offers accommodation in Barcelona. Plaza Reial is 100 metres from the property.

There is a seating and/or dining area in some units. There is also a kitchen in some of the units, equipped with a refrigerator.

La Seu, Cathedral of Barcelona is 600 metres from Smartr Barcelona Ramblas, while Portal de l'Angel is 700 metres away. The nearest airport is Barcelona El Prat Airport, 12 km from Smartr Barcelona Ramblas."
467,Hotel Actual,"€ 2,630",2 single beds,"In the centre of Barcelona’s famous Modernist district, this sophisticated hotel is an ideal base for your discovery of the city’s famous shops and stylish bars – enjoy views of Gaudí’s architecture.

Relax in the calm interiors of the Actual’s rooms. Surf the web on the free wireless provided and watch your favourite shows on the LCD screen.

Prepare for the day ahead with a fantastic buffet breakfast served in the Hotel Actual’s cafe. Here, you can later enjoy a refreshing drink in the bar area. You can also rest your legs in the stylish lounge and chat to other guests while you help yourself to complementary hot drinks.

The Actual has been carefully designed to harmonise with the beautiful architecture of its surroundings. Admire a balance of old and new. You can enjoy sleek, modern furniture and contemporary design which features dark wood and glass details. This is cleverly contrasted against traditional, Belle Époque fixtures in the ceilings."
468,La Mare by The Streets,"€ 2,081","6 beds (4 sofa beds, 2 large doubles)","Set within a 10-minute walk of La Pedrera in Barcelona, No 23 - The Streets Apartments Barcelona offers apartments in a same building with free WiFi.

Every unit has a well-equipped kitchen or kitchenette completed with an oven; while the bathroom has a shower. There is a washing machine, and bed linen and towels are provided.

Fresh produces can be found at the market located 700 metres away; and trendy bars, restaurants and shops are on the many surrounding public squares.

A 10-minute metro ride will take you to Plaza Catalunya and Ramblas."
469,Suite Gracia Barcelona,"€ 1,718",,"Suite Gracia Barcelona features a balcony and is located in Barcelona, within just 1.3 km of Casa Batllo and 1.6 km of Passeig de Gracia. Featuring a terrace, the apartment is close to several noted attractions, around 1.6 km from Passeig de Gracia Metro Station, 1.4 km from Sagrada Familia and 1.7 km from Tivoli Theatre. Free WiFi is available throughout the property and La Pedrera is 800 metres away.

The apartment comes with 1 bedroom, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a hair dryer and free toiletries. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Palau de la Musica Catalana is 2.1 km from Suite Gracia Barcelona, while Portal de l'Angel is 2.2 km away. The nearest airport is Barcelona El Prat Airport, 14 km from the accommodation."
470,AinB Picasso-Corders Apartments,"€ 1,506",Beds: 1 double or 2 singles,"These studio apartments are located next to the Picasso Museum, Santa Caterina Market and in the heart of the bohemian Born and Gothic Quarter. They offer free Wi-Fi.

Apartments in Barcelona Corders are housed in a refurbished building, with a private lift to each apartment. Each stylish studio is decorated in light colours, using traditional materials such as stone and wood. Each studio has a small kitchen corner with a fridge and a hob or microwave.

The local district of the Born has a wealth of bars, restaurants and nightlife from which to choose. From the Corders apartments you can also walk to Las Ramblas, Barcelona Port and Barcelona Beach."
471,Plaza Goya Rooms,"€ 1,270",1 double bed,"Plaza Goya Rooms is located in the centre of Barcelona and a few minutes’ walk from the Las Ramblas. It features free WiFi and free luggage storage.

Rooms at Plaza Goya Rooms are air conditioned and include a flat-screen TV and safe. The private bathroom comes with a hairdryer and free toiletries. Some rooms have a balcony.

You can find several restaurants, bars, and a grocery shop within a 5-minute walk of Plaza Goya Rooms. Universitat Metro Station is 50 metres away, and Gaudi’s Sagrada Familia is 4 metro stops away. Plaza Catalunya and Las Ramblas are 700 metres from the property."
472,Apartments Gaudi Barcelona,"€ 1,677","4 beds (2 singles, 1 double, 1 sofa bed)","Featuring stylish accommodation, Apartments Gaudi Barcelona are set in the charming Gràcia district, just a 10-minute walk to Gaudi´s Sagrada Familia.

Each studio and apartment at the Gaudi Barcelona has charming décor. There is either a kitchen or a kitchenette with a fridge, microwave and coffee maker. Seating areas come with a flat-screen TV.

There is a selection of shops in the streets around Apartments Gaudi Barcelona. Gràcia has a range of cafés, bars and restaurants.

Passeig de Gràcia is a 10-minute walk away, while Gaudí’s La Pedrera and Casa Batlló are both within 1.5 km of the apartments. Las Ramblas can be reached in 10 minutes by Metro.


Please note that this property offers apartments in different locations around Barcelona, near the Gracia district. Check-in takes place directly at your apartment. Please see the individual apartment descriptions for the address and more details."
473,Arrivo Apartments,"€ 2,667","4 beds (3 singles, 1 double)","Arrivo Apartments is located in the Eixample district of Barcelona, 2.9 km from Passeig de Gracia, 3 km from Palau Sant Jordi and 3 km from Passeig de Gracia Metro Station. It is set 700 metres from Sants Railway Station and offers a lift. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1 km away.

The air-conditioned apartment consists of 3 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Plaça Catalunya is 3.3 km from the apartment, while Casa Batllo is 3.4 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Arrivo Apartments."
474,Sweet Inn - Sepulveda,"€ 2,482","2 beds (1 double, 1 sofa bed)","Ideally located in the Eixample district of Barcelona, Sweet Inn - Sepulveda is located 1.3 km from Plaça Catalunya, 1.4 km from Passeig de Gracia Metro Station and 1.3 km from Boqueria Market. It is set 1.3 km from Passeig de Gracia and offers a lift. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1.6 km away.

Each unit comes with a sofa, a seating area, a flat-screen TV, a well-fitted kitchen with a dining area, a safety deposit box and a private bathroom with a hair dryer. A dishwasher, an oven and microwave are also offered, as well as a coffee machine and a kettle. At the apartment complex, units come with bed linen and towels.

Popular points of interest near the apartment include Tivoli Theatre, Casa Batllo and Portal de l'Angel. The nearest airport is Barcelona El Prat Airport, 11 km from Sweet Inn - Sepulveda."
475,Limonaia,"€ 1,472",Beds: 1 double or 2 singles,"Boasting a garden and free WiFi, Limonaia is set in Barcelona, 100 metres from La Pedrera and 600 metres from Casa Batllo. Featuring family rooms, this property also provides guests with a terrace. The accommodation offers a 24-hour front desk, a concierge service and organising tours for guests.

All rooms have a contemporary décor and come with air conditioning, free WiFi, a flat-screen TV with cable channels, a kettle, a shower, a hairdryer and a wardrobe. At the hotel all rooms are fitted with a private bathroom with free toiletries.

Popular points of interest near Limonaia include Passeig de Gracia, Tivoli Theatre and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."
476,H10 Raco del Pi,"€ 1,570",Beds: 1 double or 2 singles,"Featuring 3-star accommodation, H10 Raco del Pi is set in Barcelona, 2.2 km from Sant Sebastian Beach and 2.2 km from Somorrostro Beach. With a terrace, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is 400 metres from the city centre and 2.1 km from Sant Miquel Beach.

At the hotel, all rooms come with a wardrobe and a flat-screen TV. Every room includes a safety deposit box, while certain rooms will provide you with a balcony and others also provide guests with city views. At H10 Raco del Pi rooms include bed linen and towels.

A continental breakfast is available every morning at the accommodation.

There is an on-site snack bar and guests can also make use of the business area. Staff speak English and Spanish at the 24-hour front desk.

Popular points of interest near H10 Raco del Pi include Plaça Catalunya, Tivoli Theatre and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 13 km from the hotel."
477,Happy People Gaudi Sant Pau Apartments,"€ 1,921","2 beds (1 double, 1 sofa bed)","Happy People Sagrada Familia Apartments offers air-conditioned apartments and studios with free WiFi. Accommodation is 5 minutes’ walk from Camp de l’Arpa Metro Station.

Both studios and apartments feature a living-dining room with air conditioning, a sofa, and a flat-screen TV, and a kitchenette including a microwave, dishwasher and fridge. Some rooms have ceiling fans. The modern bathroom has a hairdryer, and towels and bed linen are provided.

Several bars, restaurants and supermarkets can be found within 5 minutes’ walk. The property offers tours around the city, and airport shuttle service, available on request and for a surcharge.

Located in a residential area of the Eixample District, the property is 15 minutes’ walk from Sagrada Familia. You can reach Plaza Catalunya and Ramblas in 30 minutes by public transport. Sant Pau Hospital, a spectacular example of modernist architecture, can be reached in 5 minutes on foot."
478,Andante Hotel,"€ 1,450",1 large double bed,"With a small rooftop pool offering great views over Barcelona, Andante Hotel is centrally located 350 metres from Drassanes Metro Station and La Rambla. It offers free Wi-Fi and a gym.

Modern air-conditioned rooms feature parquet floors, a laptop safe and flat-screen satellite TV. The bathroom comes with a full-length mirror and a high-powered hairdryer.

A buffet breakfast with show cooking is available. A gluten-free breakfast is available upon request. There is a self-service area with a microwave and vending machines for drinks, sandwiches and snacks, as well as a large terrace.

You can hire a car from the tour desk and a private shuttle from and to Barcelona El Prat Airport is available on prior request at an extra cost. There is a luggage storage room and a laundry and ironing service are offered.

The rooftop terrace will be closed for maintenance from January 15, 2024, to January 25, 2024."
479,ApartEasy - Central Gracia Apartments,"€ 2,227","2 beds (1 double, 1 sofa bed)","ApartEasy - Central Gracia Apartments features air-conditioned guest accommodation in Barcelona, 500 metres from La Pedrera, less than 1 km from Casa Batllo and a 16-minute walk from Passeig de Gracia. Among the facilities at this property are a lift and luggage storage space, along with free WiFi throughout the property. Private parking can be arranged at an extra charge.

All units include a seating area, a TV, a fully equipped kitchen, a dining area, and a private bathroom, while some feature a terrace or a balcony. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, every unit includes bed linen and towels.

A bicycle rental service is available at the apartment.

Popular points of interest near ApartEasy - Central Gracia Apartments include Passeig de Gracia Metro Station, Palau de la Musica Catalana and Tivoli Theatre. The nearest airport is Barcelona El Prat, 14 km from the accommodation, and the property offers a paid airport shuttle service."
480,Arenas Atiram Hotels,"€ 1,125",2 single beds,"Situated 200 metres from Barcelona’s Diagonal Avenue with its many shops and restaurants, Arenas offers modern rooms with TV.

A buffet breakfast is served in the hotel’s restaurant.

A public car park is situated 3 minutes away from the hotel.

Arenas Atiram is a 15-minute walk from the Camp Nou Football Stadium. Maria Cristina Metro Station is 200 metres away and L’Illa Shopping Centre is a 10-minute walk away."
481,Eurostars Grand Marina Hotel GL,"€ 2,363",Beds: 1 double or 2 singles,"Set within the World Trade Center building, this 5-star design hotel overlooks Barcelona’s port and is a 5-minute walk from La Rambla. It features a seasonal rooftop pool, a gym and a spacious terrace.

The Eurostars Grand Marina Hotel GL offers modern rooms with wooden flooring and warm-coloured fabrics. A flat-screen TV with satellite channels and a spacious work desk are featured in each room. A pillow menu is also available.

The chic Grand Marina restaurant serves Mediterranean meals prepared with seasonal ingredients, while the lobby bar features exotic cocktails and live music. In the mornings, a rich breakfast is served on the terrace, weather permitting.

The Marina GL's gym offers cardiovascular equipment and free weights. Massage services are available.

Drassanes Metro Station, providing links to the rest of the city, is just 500 metres from the hotel while Barcelona Airport is 15 km away."
482,Hotel Denit Barcelona,"€ 1,349",1 double bed,"Centrally located in the enchanting Gothic Quarter, close to Plaza Catalunya Square and the Ramblas, this fresh and modern hotel boasts designed rooms and a 24-hour coffee and drinks service in the smart lobby.

The Denit offers you the chance to enjoy fun and contemporary design. You will enjoy the soothing, calm ambience of the bedrooms created by the fresh mix of pale wood and white furnishings.

Sleep soundly in the Denit’s soundproofed rooms. They include free Wi-Fi, a plasma-screen TV and an iPod dock.

Start your day with a fantastic continental breakfast where the modern décor continues along with a tasty selection of cold dishes to prepare you for the busy day ahead.

Explore the vibrant city on foot, with most attractions just a short stroll form the Denit’s entrance. Soak up the Medieval atmosphere of the hotel’s immediate surroundings."
483,Happy People Ramblas Harbour Apartments,"€ 2,788","3 beds (2 singles, 1 double)","Happy People Ramblas Harbour Apartments is just 5 minutes’ walk from Parallel Metro Station. It offers stylish air-conditioned apartments in the Poble Sec neighbourhood, close to cafés, bars and restaurants.

Each bright, spacious, open-plan apartment at Happy People Ramblas Harbour has high ceilings with exposed wooden beams, tiled floors and stylish décor. The living area has a sofa and a kitchen area with microwave and fridge. Free Wi-Fi is included.

On the last floor of the buiding there is a rooftop with the views to the city and where you can also enjoy  the swimming pool.

You can walk to Las Ramblas and the Gothic Quarter in just 15 minutes.

Barcelona’s port and cruise terminal are within 15 minutes’ walk of the apartments. Buses to Barceloneta’s beaches stop nearby."
484,Apartments Barcelona Sagrada,"€ 2,090","2 beds (1 double, 1 sofa bed)","Apartments Barcelona Sagrada has air-conditioned guest accommodation in Barcelona, 2.9 km from Bogatell Beach, 600 metres from Sagrada Familia and 2.1 km from La Pedrera. It is situated 2.3 km from Casa Batllo and features a lift. Free WiFi is available throughout the property and Nova Icaria Beach is 2.7 km away.

The apartment provides guests with a balcony, city views, a seating area, satellite flat-screen TV, a fully equipped kitchen with an oven and a microwave, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit includes bed linen and towels.

Passeig de Gracia is 2.7 km from the apartment, while Passeig de Gracia Metro Station is 2.8 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from Apartments Barcelona Sagrada."
485,Brummell Apartments Poble Sec,"€ 2,371",2 double beds,"Situated in Barcelona, 1.3 km from Magic Fountain of Montjuic and 2 km from Palau Sant Jordi, Brummell Apartments Poble Sec offers a rooftop pool and air conditioning. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The accommodation features airport transfers, while a bicycle rental service is also available.

The apartment with a terrace and city views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a shower. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

Popular points of interest near the apartment include Plaça Catalunya, Montjuïc and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 12 km from Brummell Apartments Poble Sec."
486,Hostal MiMi Las Ramblas,"€ 1,070",1 double bed,"Located just 35 metres from La Rambla, Hostal MiMi Las Ramblas in Barcelona offers free WiFi and 24-hour front desk. The guest house is 20 minutes’ walk from La Barceloneta Beach.

Wooden-floor rooms at Hostal MiMi Las Ramblas come with a wardrobe and a desk. The shared bathroom includes a shower, and guests can also enjoy a shared living room.

A wide range of bars and restaurants offering traditional Catalan and Spanish cuisine can be found in La Rambla, within 2 minutes’ walk of the guest house.

Plaza Catalunya is is 10 minutes’ walk from Hostal MiMi Las Ramblas and guests can enjoy a range of nightclubs in La Rambla. The closest metro Station is Liceu, 3 minutes’ walk from the property and Barcelona Port is 9 km away."
487,Hotel Sagrada Familia,"€ 1,061",1 single bed,"Located just 2 blocks from the Sagrada Familia, this hotel has a rooftop terrace overlooking Gaudí’s world-famous temple. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi.

The air-conditioned rooms at the Hotel Sagrada Familia feature parquet floors and modern furniture. They are equipped with a minibar and the private bathrooms come with a hairdryer.

Glòries Shopping Centre and Arc de Triomf are under 20 minutes’ walk from the hotel. Sagrada Familia Metro Station, located a 3-minute walk away, connects you with the city centre in 5 minutes."
488,Ola Living Calabria,"€ 2,584","3 beds (1 single, 1 sofa bed, 1 large double)","Conveniently located in the Eixample district of Barcelona, Ola Living Calabria is situated 1.9 km from Passeig de Gracia, 1.8 km from Plaça Catalunya and 1.4 km from Boqueria Market. It is set less than 1 km from Magic Fountain of Montjuic and offers a lift. Tivoli Theatre is 2.9 km away and Palau Sant Jordi is 3.2 km from the apartment.

Each unit is fitted with air conditioning, a private bathroom and a well-fitted kitchen including a dishwasher, oven, microwave and a toaster. The units have a coffee machine, a TV, a safety deposit box and free WiFi, while some rooms also offer a terrace. At the apartment complex, units come with bed linen and towels.

Popular points of interest near the apartment include Portal de l'Angel, Cathedral of Barcelona and Montjuïc. The nearest airport is Barcelona El Prat Airport, 11 km from Ola Living Calabria."
489,Penthouse Camp Nou,"€ 1,724","2 beds (1 double, 1 sofa bed)","Situated in Barcelona, 1.6 km from Sants Railway Station and 3.3 km from Magic Fountain of Montjuic, Penthouse Camp Nou offers air conditioning. It is located 4.6 km from La Pedrera and features a lift. Free WiFi is available throughout the property and Camp Nou is 1.2 km away.

The apartment with a terrace and mountain views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

A bicycle rental service is available at the apartment.

Casa Batllo is 4.7 km from Penthouse Camp Nou, while Palau Sant Jordi is 5 km from the property. The nearest airport is Barcelona El Prat, 11 km from the accommodation, and the property offers a paid airport shuttle service."
490,AC Hotel Diagonal L'Illa by Marriott,"€ 1,686",1 extra-large double bed,"AC Hotel Diagonal L´Illa offers accommodation in Barcelona, 1.8 km from Camp Nou. Guests can enjoy the on-site restaurants,  paid parking located at commercial center.

Free WiFi is available throughout the hotel.

Every room at this hotel has plush bedding, a flat-screen TV and a spacious work desk. Every room includes a private bathroom equipped with a shower and free toiletries.

You will find a 24-hour front desk at the property. Surrounded by lush gardens, the property is near many upscale boutiques and restaurants.

The Suite Bar is a modern, welcoming space on the hotel’s second floor. Its contemporary décor and lighting make it an ideal spot to enjoy a drink.

The Picasso Museum is 3.8 km from AC Hotel Diagonal L´Illa, while La Pedrera is 2.2 km from the property. The nearest airport is El Prat Airport, 11 km away."
491,Key Gracia Apartments,"€ 2,975","5 beds (2 singles, 2 doubles, 1 large double)","Gracia Apartments offer various apartments, all located in Barcelona's trendy Gràcia district, 750 metres from Gaudí's iconic Sagrada Família Basilica. These modern, air-conditioned apartments feature free WiFi.

Each apartment has stylish décor with parquet floors, while some apartments have a private terrace. The lounge has a sofa and flat-screen TV, and the kitchen includes an oven, hob, microwave and washing machine. There are 2 bathrooms, one with a bath and the other with a shower. A hairdryer, towels and bed linen are provided. The address of each apartment is provided in the descriptions of each one.

Information about what to see and do in the surrounding area is available, and you can walk to Hospital de Sant Pau, a UNESCO World Heritage Site, in 7 minutes.

Located 450 metres away, Joanic and Sagrada Família Metro Stations connect you with the rest of the city with ease."
492,Seneca7 near paseo de gracia,"€ 2,086",Managed by a private host,"Seneca7 near paseo de gracia features air-conditioned guest accommodation in Barcelona, 500 metres from La Pedrera, less than 1 km from Casa Batllo and a 16-minute walk from Passeig de Gracia. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. The apartment has family rooms.

Each unit has a fully equipped kitchen with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bath and a hair dryer. A fridge, a stovetop and kitchenware are also offered, as well as a coffee machine and a kettle. At the apartment complex, units come with bed linen and towels.

Popular points of interest near the apartment include Passeig de Gracia Metro Station, Tivoli Theatre and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Seneca7 near paseo de gracia."
493,Happy People Sagrada Familia Apartments,"€ 3,373","6 beds (4 singles, 2 doubles)","Happy People Sagrada Familia Apartments is a self-catering accommodation located in Barcelona. Free WiFi access is available. The property is 55 metres from Sagrada Familia and 500 metres from Monumental.

The apartment will provide you with air conditioning and free amenities including italian coffee maker. Complete with a microwave, the dining area also has a refrigerator and kitchenware. Featuring a shower, private bathroom also comes with a hairdryer.

At Happy People Sagrada Familia Apartments you will find a terrace.

If you feel like visiting the surroundings, check out Tetuan (900 metres) and Estacio del Nord (1.1 km). Barcelona El Prat Airport is located 14 km from the property."
494,Sant Pau Ramblas Apartments Serennia,"€ 2,493","4 beds (2 singles, 1 sofa bed, 1 large double)","Sant Pau Ramblas Apartments Serennia provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is located 2.4 km from Sant Sebastian Beach and features a lift. The apartment features family rooms.

The apartment complex will provide guests with air-conditioned units offering a wardrobe, a coffee machine, a dishwasher, an oven, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Some units include a terrace and/or a balcony with city views and an outdoor dining area. At the apartment complex, every unit includes bed linen and towels.

Popular points of interest near the apartment include Boqueria Market, Santa Maria del Mar and Picasso Museum. The nearest airport is Barcelona El Prat Airport, 12 km from Sant Pau Ramblas Apartments Serennia."
495,Fuster Apartments by Aspasios,"€ 2,910","3 beds (2 singles, 1 large double)","Fuster Apartments are just 150 metres from Diagonal Avenue and 15 minutes’ walk from Plaza de Catalunya. These stylish apartments are set in a Modernist building dating from 1905.

Fuster Apartments boast high ceilings and mosaic floors. Lounges include a plasma TV, DVD and CD player and sofa, while kitchens have a washing machine, dishwasher, oven and microwave. Some apartments also have balconies. Free Wi-Fi and air conditioning are included, and towels, bed linen and a hairdryer are provided.

There are several bars and restaurants within 5 minutes’ walk. Passeig de Gràcia, with its Gaudí buildings and exclusive shops, is 650 metres away.

The Sagrada Familia is 10 minutes’ walk from the Fuster Apartments. You can reach Ciutadella Park and Las Ramblas by foot in 20 minutes.

The properties are set 5 minutes’ walk from both Girona and Verdaguer Metro Stations. Nord Bus Station is 1.4 km away"
496,DO Plaça Reial powered by Sonder,"€ 2,659",1 large double bed,"Set on Plaza Reial and just off Las Ramblas, DO Plaça Reial powered by Sonder features a spa, a rooftop pool and stylish rooms. Bars and cafés can be found in the square and in the surrounding Gothic Quarter.

Each spacious, air-conditioned room offers a free Wi-Fi, a flat-screen TV and a free minibar.

In the mornings, the DO Plaça Reial offers a paid breakfast. Creative Mediterranean cuisine and tapas dishes are also served in the restaurant.

The hotel spa features a sauna.

The famous Boquería Market is just 5-minute walk away. Barcelona Cathedral, Liceu Metro and Plaza Catalunya are within 1 km of the hotel."
497,Hotel Regina,"€ 1,665",Beds: 1 double or 2 singles,"Hotel Regina is set in a historic 19th-century building, just 50 metres from Barcelona’s Plaza Catalunya and the Ramblas. The hotel offers free high-speed WiFi and modern rooms.

The century-old hotel was founded in 1917 and features beautiful architecture, including its impressive art nouveau entrance.

The Hotel Regina’s spacious rooms come with air conditioning, central heating and satellite TV. There is free tea and coffee, a safe, work desk and minibar. The private bathroom includes ecological cosmetics and a hairdryer. Some rooms have a balcony.

A varied buffet breakfast with zero-kilometre and homemade products is served. There is also a bar and room service is offered all day from 07:00 to 00:00.

The Regina has a 24-hour front desk and a tour desk. Gaudí’s Casa Batlló and La Pedrera, on Passeig de Gràcia Avenue, are within a 10-minute walk away. Catalunya Metro and Train Station and the airport bus stop are within 5 minutes' walk."
498,Sensation Authentic Gràcia,"€ 2,215","5 beds (4 singles, 1 sofa bed)","Sensation Authentic Gracia is a self-catering accommodation located in Barcelona. Free WiFi access is available in all apartments. The property is a 10-minute walk from Gaudi's La Sagrada Familia.

Accommodation will provide you with a TV and air conditioning. There is a full kitchenette with a dishwasher and a microwave. Featuring a bath, private bathrooms also come with a hairdryer and free toiletries. All properties include a private balcony with chairs and tables. Bed linen and towels are provided.

Joanic Metro Station is a 5-minute walk away, and you can reach Plaça Catalunya and the centre in 15 minutes by metro. You can reach Gaudi's La Pedrera in 20 minutes by metro, and Barcelona-El Prat Airport is located 16 km away."
499,BCN Urbaness Hotels Del Comte,"€ 1,383",2 single beds,"Hotel Del Comte is 100 metres from Barcelona's Urgell Metro Station and 15 minutes walk from the Rambla and Plaza Espanya. It offers modern rooms with free Wi-Fi and a flat-screen TV with satellite channels.

The air-conditioned rooms at Del Comte feature parquet floors and smart design. Each one comes with a work desk and a private bathroom with a hairdryer.

Staff at the Del Comte Hotel’s 24-hour reception can provide information about what to see and do in Barcelona.

There is a bus stop just 3 minutes’ walk from the Del Comte which provides transport connections to Barcelona El Prat Airport. It is only 2 stops on the Metro to Plaza Catalunya, Barcelona’s main square."
500,Nordic Apartment II Sagrada Familia,"€ 1,908",Managed by a private host,"Offering inner courtyard views, Nordic Apartment II Sagrada Familia is an accommodation situated in Barcelona, 1 km from Sagrada Familia and 2.5 km from La Pedrera. Complimentary WiFi is available throughout the property and private parking is available on site. The accommodation features a lift, and organising tours for guests.

The 2-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment. This apartment is allergy-free and non-smoking.

Casa Batllo is 3 km from the apartment, while Passeig de Gracia is 3.4 km from the property. The nearest airport is Barcelona El Prat Airport, 16 km from Nordic Apartment II Sagrada Familia."
501,limehome Barcelona Carrer de Besalú 82,"€ 1,703",1 large double bed,"3.5 km from La Pedrera, limehome Barcelona Carrer de Besalú 82 is set in Barcelona and provides free WiFi and express check-in and check-out. The property is around 3.6 km from Casa Batllo, 4 km from Passeig de Gracia and 4.1 km from Passeig de Gracia Metro Station. The property is non-smoking and is located 1.8 km from Sagrada Familia.

All units in the hotel are fitted with a coffee machine. Complete with a private bathroom equipped with a shower and free toiletries, guest rooms at limehome Barcelona Carrer de Besalú 82 have a flat-screen TV and air conditioning, and certain rooms include a balcony. At the accommodation each room comes with bed linen and towels.

Palau de la Musica Catalana is 4.4 km from limehome Barcelona Carrer de Besalú 82, while Tivoli Theatre is 4.4 km away. The nearest airport is Barcelona El Prat Airport, 16 km from the hotel."
